station,state,lat,long,value,p_value,trend
USC00032930,AR,36.4261,-94.4481,0,0.24191667142929099,none
USC00034572,AR,36.4947,-91.535,-13.77321302,1.4857959214816099E-2,decrease
USC00034756,AR,34.5978,-94.29,0,0.52162963840762699,none
USC00035186,AR,35.6042,-91.2744,-24.9787013,3.8779683453841801E-4,decrease
USC00035754,AR,34.2256,-92.0186,-13.40993607,5.0021095534260297E-2,decrease
USC00035820,AR,36.2642,-90.9683,-14.68883117,1.3312222813664801E-2,decrease
USC00035908,AR,33.8203,-93.3878,-17.62027981,1.5425860885015401E-2,decrease
USC00036253,AR,33.8103,-91.2778,0,0.14862935393547,none
USC00036928,AR,35.3028,-93.6369,-14.06337662,3.8524820952070903E-2,decrease
USC00040693,CA,37.8744,-122.2606,21.33279954,3.34115030458517e-08,increase
USC00040924,CA,33.6139,-114.5978,0,0.67196226626098099,none
USC00041048,CA,32.9544,-115.5581,0,0.21420651193297499,none
USC00041614,CA,41.53,-120.1792,8.228571429,7.1786069715766898E-2,increase
USC00041715,CA,39.6911,-121.8211,-11.94701299,8.5481428270772297E-4,decrease
USC00041758,CA,32.64,-117.0858,36.46753247,8.05768938775551e-12,increase
USC00041912,CA,39.09,-120.9469,9.996521739,4.6352211980008301E-2,increase
USC00042239,CA,32.9897,-116.5872,0,0.30225258227468299,none
USC00042294,CA,38.535,-121.7761,0,0.34529784524583002,none
USC00042319,CA,36.4625,-116.8672,33.04934716,4.57255911917342e-09,increase
USC00042941,CA,34.705,-118.4297,15.12127573,1.79787959401165e-05,increase
USC00043161,CA,39.51,-123.7564,15.16674749,2.7863810302931499E-2,increase
USC00043747,CA,36.3158,-119.6369,10.93090909,5.96681438842091E-3,increase
USC00043761,CA,41.7961,-123.3747,-22.55469221,1.89948423060745e-07,decrease
USC00043875,CA,38.6294,-122.8664,0,0.73648541253888,none
USC00044232,CA,36.7981,-118.2036,41.31432071,7.4125762425356e-12,increase
USC00044259,CA,33.7086,-116.2153,0,0.68067506212483397,none
USC00044890,CA,36.3817,-119.0264,15.66337662,2.5948795691381299E-3,increase
USC00044997,CA,37.6819,-121.7514,0,0.94034553581082803,none
USC00045032,CA,38.1061,-121.2878,0,0.48821820640772601,none
USC00045385,CA,39.1458,-121.5853,0,0.72855675540150699,none
USC00045532,CA,37.2889,-120.5158,0,0.18756565630691399,none
USC00045983,CA,41.3217,-122.3172,0,0.32665294774074699,none
USC00046074,CA,38.2778,-122.2647,8.871688312,9.0669428835874605E-4,increase
USC00046175,CA,33.6031,-117.8836,0,0.30004213963986798,none
USC00046399,CA,34.4478,-119.2275,0,0.695756144447916,none
USC00046506,CA,39.7458,-122.1997,-6.601558442,8.2959660821340805E-2,decrease
USC00046508,CA,41.3019,-123.5386,-16.7343413,1.4447404354075299E-4,decrease
USC00046719,CA,34.1483,-118.1447,22.40831169,2.69936498933759e-09,increase
USC00046730,CA,35.6278,-120.6856,0,0.605817643167329,none
USC00046826,CA,38.2578,-122.6078,0,0.120168508426563,none
USC00047195,CA,39.9367,-120.9475,0,0.410183596711099,none
USC00047306,CA,34.0369,-117.1947,0,0.16283116826005301,none
USC00047851,CA,35.3056,-120.6619,12.22922668,7.1463496259204699E-4,increase
USC00047902,CA,34.4167,-119.6844,0,0.99775963857946104,none
USC00047916,CA,36.9878,-121.9994,0,0.94018464874840002,none
USC00047965,CA,38.4558,-122.7133,0,0.54199805355614294,none
USC00048702,CA,40.4167,-120.6631,-9.225601991,2.3918859972252599E-2,decrease
USC00048758,CA,39.1678,-120.1428,21.41714286,2.11089578714476e-06,increase
USC00048839,CA,35.0233,-118.7497,0,0.430694925864059,none
USC00049122,CA,39.1467,-123.2103,-27.44038462,5.26344899837867e-09,decrease
USC00049200,CA,38.3956,-121.9608,0,0.97995392305553597,none
USC00049452,CA,35.5892,-119.3519,7.510649351,3.5757793700135702E-2,increase
USC00049490,CA,40.7353,-122.9442,12.79277331,3.9648808436077796E-3,increase
USC00049699,CA,39.5231,-122.3047,9.764155844,1.93220786715654E-2,increase
USC00049855,CA,37.7503,-119.5897,-12.41454545,1.1925030150851799E-2,decrease
USC00049866,CA,41.7031,-122.6414,17.78285714,9.71417696615589e-06,increase
USC00050848,CO,39.9919,-105.2667,0,0.69039936918422296,none
USC00051294,CO,38.46,-105.2256,6.695343072,7.5841362259064002E-2,increase
USC00051528,CO,39.2203,-105.2783,0,0.82321260470843405,none
USC00051564,CO,38.8575,-102.3328,8.235899415,6.6105221928429006E-2,increase
USC00052184,CO,37.6911,-106.3078,14.56311688,8.6601746782818297E-3,increase
USC00052281,CO,39.6244,-106.0336,10.56519481,2.08234947613994E-2,increase
USC00052446,CO,38.4758,-102.7769,0,0.222545424932798,none
USC00053005,CO,40.5764,-105.0858,19.02025974,2.822150458218e-06,increase
USC00053038,CO,40.2569,-103.87,0,0.16871591540466799,none
USC00053146,CO,39.1444,-108.7281,16.21498371,2.5976134510518E-3,increase
USC00053662,CO,38.5253,-106.9672,-12.40377229,4.8008611274038401E-3,decrease
USC00053951,CO,37.7494,-107.095,24.63376623,2.8835322039039e-07,increase
USC00054076,CO,38.0517,-102.1317,0,0.34130656708842599,none
USC00054770,CO,38.0936,-102.6306,0,0.14656302185836401,none
USC00054834,CO,38.0636,-103.2153,6.564957181,7.1392831653119798E-2,increase
USC00055322,CO,37.1711,-105.94,0,0.21418498542603001,none
USC00055722,CO,38.4858,-107.8792,11.78597403,2.3283056075633E-2,increase
USC00057167,CO,38.0383,-103.6947,0,0.45916917054642298,none
USC00057337,CO,38.0919,-106.1511,0,0.41786111569463502,none
USC00057936,CO,40.4883,-106.8233,11.13558442,2.2975446581698099E-2,increase
USC00058204,CO,37.9492,-107.8736,0,0.51699049792676399,none
USC00058429,CO,37.1786,-104.4869,34.54741723,9.74044787975937e-14,increase
USC00059243,CO,40.0819,-102.2069,0,0.39565537235029302,none
USC00062658,CT,41.95,-73.3667,0,0.66305513617529099,none
USC00063207,CT,41.3503,-72.0378,0,0.28817620824839202,none
USC00067970,CT,41.1247,-73.5475,14.12182376,7.4852826657471599E-3,increase
USC00068138,CT,41.795,-72.2286,0,0.60800557049762305,none
USC00072730,DE,39.1467,-75.5056,0,0.27014413021973099,none
USC00076410,DE,39.6683,-75.7456,0,0.84547425853040004,none
USC00079605,DE,39.7739,-75.5414,6.864415584,8.7917708734762207E-2,increase
USC00080211,FL,29.7258,-85.0206,47.28247557,5.21564953210477e-07,increase
USC00080228,FL,27.2178,-81.8742,-10.44327878,9.6180446292535304E-2,decrease
USC00080478,FL,27.8861,-81.8325,0,0.18287006805087599,none
USC00082220,FL,30.7244,-86.0939,-26.70716198,2.0177653401875799E-3,decrease
USC00082850,FL,25.8489,-81.3897,0,0.96869241895883995,none
USC00082915,FL,29.755,-81.5389,-21.89981104,1.77354464544583E-3,decrease
USC00082944,FL,30.6669,-81.4525,0,0.28376613361466202,none
USC00083163,FL,26.1019,-80.2011,0,0.86449726641288205,none
USC00083207,FL,27.4419,-80.3508,18.00831169,1.8692148385711E-2,increase
USC00084289,FL,28.8028,-82.3128,18.41766234,2.6708234196678201E-3,increase
USC00084731,FL,30.1853,-82.5942,-18.77417458,5.2096940619392896E-3,decrease
USC00085275,FL,30.4653,-83.4022,0,0.28758834932178301,none
USC00086414,FL,29.1639,-82.0778,-10.44926052,8.1137452882913796E-2,decrease
USC00087851,FL,28.3378,-82.26,0,0.70752016183586797,none
USC00088824,FL,28.1522,-82.7539,17.68727273,4.3598852710181102E-2,increase
USC00088942,FL,28.6242,-80.8169,-22.55799694,7.63623031453857e-05,decrease
USC00090140,GA,31.5339,-84.1489,-16.14092558,1.49200284799327E-2,decrease
USC00091340,GA,31.1681,-81.5022,0,0.92747960699038501,none
USC00091500,GA,31.1903,-84.2036,-45.36519481,1.0434099439092e-07,decrease
USC00092318,GA,33.5972,-83.8436,0,0.13150577394767399,none
USC00092966,GA,32.2003,-83.2058,-18.33662338,1.45063882015863E-2,decrease
USC00093621,GA,34.3006,-83.86,-13.60256792,4.8562216049797199E-2,decrease
USC00093754,GA,31.9881,-81.9522,15.31754495,2.2542640742071102E-2,increase
USC00094170,GA,32.2842,-83.4681,0,0.15652903426120299,none
USC00095874,GA,33.0831,-83.2497,18.57375617,1.46761809541544E-2,increase
USC00096335,GA,33.3997,-84.915,-15.48889388,1.76679892722847E-2,decrease
USC00097276,GA,30.7836,-83.5692,-23.28529956,2.7729644675041402E-3,decrease
USC00097600,GA,34.2414,-85.1583,0,0.21455474821588899,none
USC00098535,GA,32.6864,-84.5208,-16.29256323,1.42704426971753E-2,decrease
USC00098703,GA,31.4461,-83.4767,0,0.56649661422490605,none
USC00098740,GA,34.5786,-83.3319,0,0.80710916100818697,none
USC00099141,GA,33.4028,-82.6222,0,0.18528006699273,none
USC00099157,GA,33.7264,-82.7058,0,0.24699234215864299,none
USC00099186,GA,31.2514,-82.3128,15.03336683,7.0513827161919604E-2,increase
USC00099291,GA,32.8861,-85.1839,0,0.20222551323652199,none
USC00100010,ID,42.9536,-112.8253,8.820779221,1.6289586859369602E-2,increase
USC00100448,ID,43.5936,-115.9236,0,0.35973379912247999,none
USC00100470,ID,44.0708,-111.4564,18.17513819,1.281187250456e-05,increase
USC00101408,ID,44.5733,-116.6753,18.8106331,1.24070288913626e-05,increase
USC00101956,ID,47.6822,-116.7967,-9.983048989,2.1655561350868099E-2,decrease
USC00102845,ID,46.5022,-116.3217,0,0.47685712777073902,none
USC00103143,ID,46.1,-115.5447,0,0.632923996495795,none
USC00103631,ID,42.9403,-115.3231,23.48113298,5.48267686475471e-09,increase
USC00103732,ID,42.5631,-111.7594,31.94909091,9.75853624776201e-11,increase
USC00104140,ID,42.5972,-114.1378,12.68417461,7.4863510186513296E-4,increase
USC00104295,ID,42.3528,-114.5739,0,0.487540610638801,none
USC00104670,ID,42.7325,-114.5192,0,0.19617653691420101,none
USC00104831,ID,47.5333,-116.1333,0,0.57348770588246401,none
USC00105275,ID,42.1231,-111.3133,14.63272727,1.12275655063099E-3,increase
USC00105462,ID,43.9178,-113.6153,0,0.95442126637361502,none
USC00105685,ID,44.5664,-113.8953,14.26892854,3.3255264780906002E-3,increase
USC00106152,ID,46.7281,-116.9558,11.55116883,9.0255429575435999E-4,increase
USC00106388,ID,44.9714,-116.2933,0,0.23282611780319701,none
USC00106542,ID,42.2339,-113.8925,0,0.71303204856620805,none
USC00106891,ID,44.0764,-116.9311,0,0.45739117376081101,none
USC00107264,ID,48.9994,-116.4992,8.746398162,4.2816149353652799E-2,increase
USC00107386,ID,48.3511,-116.8353,13.47532468,9.5534031863418799E-4,increase
USC00108137,ID,48.2942,-116.5628,14.75130001,7.9113006978136799E-4,increase
USC00110072,IL,41.1978,-90.7447,-15.82753247,1.76046006013757E-3,decrease
USC00110187,IL,37.5222,-89.2486,0,0.67328820807457201,none
USC00110338,IL,41.7803,-88.3092,0,0.51954916811913499,none
USC00111280,IL,39.2881,-89.8697,-12.88536821,5.0920811134375202E-2,decrease
USC00111436,IL,39.4761,-88.1653,0,0.30040403887759198,none
USC00112140,IL,40.1392,-87.6478,-19.62181818,1.9664069870583799E-4,decrease
USC00112193,IL,39.8289,-88.9506,-15.06393118,3.3923830169747802E-3,decrease
USC00112348,IL,41.835,-89.5136,-18.54885608,4.1488152928837699E-4,decrease
USC00112483,IL,37.9878,-89.1931,-10.96311688,5.9391045671364502E-2,decrease
USC00113335,IL,41.1739,-90.035,-12.68467532,4.3608877966279797E-3,decrease
USC00113879,IL,37.7408,-88.5244,-24.87845664,7.7726785979619897E-4,decrease
USC00114108,IL,39.1611,-89.4919,0,0.78252834375507396,none
USC00114198,IL,40.4664,-87.685,0,0.19443049324994399,none
USC00114442,IL,39.7347,-90.1978,0,0.19212581861731001,none
USC00114823,IL,40.5839,-90.9686,-8.432207792,6.9819229880967101E-2,decrease
USC00115079,IL,40.1519,-89.3386,-17.4774026,1.7820181192880499E-3,decrease
USC00115326,IL,42.2636,-88.6078,-12.2110214,1.7488932126392201E-2,decrease
USC00115712,IL,40.9125,-89.0339,0,0.56834106393806105,none
USC00115768,IL,40.9442,-90.6381,-10.63379745,3.6562692378839801E-2,decrease
USC00115833,IL,41.7944,-89.9681,-15.15220779,1.2383736804997599E-3,decrease
USC00115901,IL,42.0981,-89.9842,9.372467532,4.4496801687670298E-2,increase
USC00115943,IL,38.3619,-88.8597,-18.28051948,4.6514568410853401E-4,decrease
USC00116446,IL,38.7006,-88.0819,-14.00415584,9.1680446327306007E-3,decrease
USC00116526,IL,41.3281,-88.9097,-18.59220779,1.16223968285454E-4,decrease
USC00116558,IL,38.9994,-87.6139,-15.63931453,2.30044405539718E-2,decrease
USC00116579,IL,39.3686,-89.0867,0,0.95221797375288397,none
USC00116610,IL,39.6186,-87.6672,-14.74181818,3.3496715712530698E-3,decrease
USC00116910,IL,40.8778,-88.6364,0,0.65940496603139298,none
USC00117551,IL,40.1275,-90.5592,-22.51399342,1.6303620363681201E-4,decrease
USC00118147,IL,38.1167,-89.7167,-19.97565649,1.34973864487713E-2,decrease
USC00118740,IL,40.0842,-88.2403,0,0.79000352127608497,none
USC00118916,IL,41.5603,-89.6025,-15.78597403,1.45189477190287E-3,decrease
USC00119241,IL,39.4408,-90.3789,-13.5012987,1.7439272044596801E-2,decrease
USC00119354,IL,39.4458,-88.5961,-15.28311688,4.0226570034556097E-3,decrease
USC00120177,IN,40.1117,-85.7164,-9.853831914,8.47225007561348E-2,decrease
USC00120200,IN,41.6639,-85.0183,-9.754622466,2.9068961438806301E-2,decrease
USC00120676,IN,40.6683,-84.93,-10.55122163,3.0284932633593799E-2,decrease
USC00120784,IN,39.1739,-86.5208,-11.71504819,3.6358890064018497E-2,decrease
USC00121030,IN,39.4239,-85.0144,0,0.238890767167491,none
USC00121747,IN,39.1661,-85.9228,-9.258181818,7.7534842016480601E-2,decrease
USC00122149,IN,40.615,-86.6661,-14.11776557,4.8889777428601899E-2,decrease
USC00123418,IN,41.5575,-85.8825,0,0.33036208064601902,none
USC00123513,IN,39.6439,-86.8767,-27.28094406,3.87399568474188e-05,decrease
USC00123527,IN,39.7858,-85.7611,-13.43064935,7.7145613892976497E-3,decrease
USC00124837,IN,41.6117,-86.7297,-16.43428571,9.32810200255002e-05,decrease
USC00125237,IN,38.7369,-85.3942,-25.53870057,5.9475032014701104E-3,decrease
USC00125337,IN,40.58,-85.6586,-9.042077922,5.7594196450858497E-2,decrease
USC00126001,IN,37.9286,-87.8956,-14.59918585,1.3408678914837E-2,decrease
USC00126580,IN,38.8878,-86.5519,-24.04779221,1.6328857768570999E-4,decrease
USC00126705,IN,38.5556,-86.4858,0,0.103218507703881,none
USC00127125,IN,38.3567,-87.5906,0,0.80965793475023395,none
USC00127482,IN,41.0664,-86.2097,-11.50025974,1.2253242529222899E-2,decrease
USC00127522,IN,39.7594,-87.2269,0,0.59549802731429602,none
USC00127646,IN,39.6042,-85.4533,0,0.29283918182593699,none
USC00127875,IN,38.6886,-85.785,-15.18093664,5.4827704159096699E-2,decrease
USC00127935,IN,38.9542,-85.9044,-21.35473453,9.7833072408049599E-4,decrease
USC00128036,IN,38.5528,-86.7944,-9.194805195,9.1868076277034694E-2,decrease
USC00129253,IN,38.6489,-87.1989,0,0.178383656803625,none
USC00129557,IN,39.9961,-86.3542,-9.094750743,8.8163005025976696E-2,decrease
USC00129670,IN,41.0267,-86.5867,-12.16,1.12486135975889E-2,decrease
USC00130112,IA,41.0656,-92.7867,-19.47365173,1.20658852291272E-4,decrease
USC00130133,IA,43.0664,-94.2222,0,0.21708869551448901,none
USC00130600,IA,41.8814,-92.2764,-11.30701299,2.1785718384665202E-2,decrease
USC00131402,IA,43.0603,-92.6717,-12.57038961,8.7975459999023002E-3,decrease
USC00131533,IA,40.7244,-95.0192,-13.71948052,3.2044047218484002E-3,decrease
USC00131635,IA,41.7947,-90.2639,0,0.33831966616997999,none
USC00132724,IA,43.4036,-94.7472,-14.12883117,6.6231352084774101E-4,decrease
USC00132789,IA,41.0211,-91.9553,0,0.167372273143503,none
USC00132864,IA,42.8825,-91.8303,-8.262857143,8.8947580347382496E-2,decrease
USC00132977,IA,43.2844,-93.6306,-11.90107378,3.84633790910879E-3,decrease
USC00132999,IA,42.5836,-94.2006,-17.93584964,5.71213486128275e-05,decrease
USC00134063,IA,41.3664,-93.6481,-12.02378378,1.1938055256013399E-2,decrease
USC00134142,IA,42.5189,-93.2536,-7.124475292,8.1088436138742295E-2,decrease
USC00134735,IA,42.7817,-96.1458,-13.53350649,9.0055093891526997E-3,decrease
USC00134894,IA,41.65,-95.8061,0,0.33762946583417802,none
USC00135769,IA,40.7053,-94.2428,0,0.27137021489868401,none
USC00135796,IA,40.9486,-91.5647,-14.09297297,4.8048791933433099E-3,decrease
USC00135952,IA,43.0453,-92.3122,0,0.69137069020328301,none
USC00137147,IA,43.43,-96.1686,0,0.51458238524281097,none
USC00137161,IA,42.3969,-94.6292,-16.31792208,5.61948438487338e-05,decrease
USC00137979,IA,42.6469,-95.1933,0,0.41696010854610199,none
USC00138296,IA,42.0356,-92.5806,0,0.46510227922345998,none
USC00138688,IA,41.2825,-91.7078,0,0.110019825720498,none
USC00140365,KS,37.1942,-99.7633,0,0.86939859646230899,none
USC00140405,KS,39.5756,-95.1108,0,0.45300119992017901,none
USC00141704,KS,37.2733,-99.3289,-13.67584416,1.1188739418798801E-2,decrease
USC00141740,KS,37.1681,-94.83,-13.47190225,4.2086753416083401E-2,decrease
USC00141867,KS,38.6758,-96.5097,0,0.64906988082959405,none
USC00142401,KS,37.8183,-96.8444,0,0.30070130417315399,none
USC00142459,KS,38.7297,-98.225,0,0.43577845810983901,none
USC00142835,KS,37.8172,-94.6986,-16.30169895,2.1174461724559598E-2,decrease
USC00143527,KS,38.8586,-99.3358,0,0.47613448713938999,none
USC00143810,KS,39.6678,-95.52,0,0.437803533068023,none
USC00143954,KS,37.2364,-95.7003,0,0.46831560277170903,none
USC00144464,KS,37.9411,-101.2492,9.154285714,2.1668850869837799E-2,increase
USC00144530,KS,38.1817,-99.0994,0,0.325977085472683,none
USC00144559,KS,38.9583,-95.2514,0,0.16052696490000201,none
USC00144588,KS,39.3256,-94.9189,0,0.72743216187739301,none
USC00144695,KS,37.0308,-100.9069,0,0.28115359337473,none
USC00144972,KS,39.1972,-96.5814,0,0.63095454041989396,none
USC00145152,KS,38.3772,-97.6097,0,0.20110566156338,none
USC00145363,KS,39.1247,-97.7047,0,0.491997561613918,none
USC00145856,KS,39.7408,-99.8361,0,0.92426708532101798,none
USC00145906,KS,39.8228,-100.5164,-8.753177835,7.0121635596560497E-2,decrease
USC00145972,KS,38.8875,-94.7603,0,0.490111915371304,none
USC00146128,KS,38.6133,-95.2808,-10.12363636,9.7769864671456097E-2,decrease
USC00147093,KS,39.7675,-101.8067,6.993246753,7.9349662203668805E-2,increase
USC00147271,KS,38.4747,-100.9175,0,0.46040001996315599,none
USC00147305,KS,37.1322,-96.18,-13.12207792,3.9188547423124699E-2,decrease
USC00147542,KS,39.7772,-98.7783,-9.38574828,6.5298286890671395E-2,decrease
USC00148495,KS,39.0147,-99.8722,14.05194805,7.9451563180444598E-4,increase
USC00150254,KY,38.4536,-82.6131,0,0.16013902527116999,none
USC00150381,KY,36.8825,-83.8819,-12.45026478,3.1534751751168801E-2,decrease
USC00150619,KY,37.5733,-84.2908,-20.38374755,1.0556168975680799E-2,decrease
USC00152791,KY,38.1228,-83.5328,0,0.29881395742414801,none
USC00153430,KY,37.2572,-85.5011,0,0.97639128288658295,none
USC00153762,KY,37.7558,-87.6456,0,0.53464925609913105,none
USC00153994,KY,36.8489,-87.5208,-17.54520542,9.0412755730587303E-3,decrease
USC00154703,KY,37.5108,-86.2892,-21.70231826,1.48432718774706E-3,decrease
USC00158714,KY,38.6408,-84.5592,0,0.34338461110464702,none
USC00160098,LA,31.3206,-92.4611,0,0.86669021481687003,none
USC00160205,LA,30.7094,-90.525,0,0.15309773294038201,none
USC00160537,LA,32.7314,-91.9144,-16.33923755,8.5241774051281402E-2,decrease
USC00161287,LA,30.9594,-92.1786,0,0.51515898493412804,none
USC00161411,LA,32.5372,-92.3597,0,0.56743384855600099,none
USC00162151,LA,30.5272,-90.1114,0,0.74889394573919998,none
USC00162534,LA,30.0719,-91.0278,-42.87792208,1.41739199892861e-07,decrease
USC00163313,LA,29.8233,-91.5442,-28.79195757,3.55124080100936e-05,decrease
USC00163800,LA,30.4183,-92.0442,0,0.64458994290050298,none
USC00164407,LA,29.6408,-90.8161,0,0.37757382931767203,none
USC00164700,LA,30.2003,-92.6642,-20.17038961,8.2301428697947702E-3,decrease
USC00168163,LA,31.9497,-91.2336,18.61439717,3.1745288166186302E-3,increase
USC00169806,LA,32.0997,-91.7022,0,0.44621147051549098,none
USC00170814,ME,45.6603,-69.812,10.81828677,5.9310862299100696E-3,increase
USC00171628,ME,44.9197,-69.2417,0,0.139627691373961,none
USC00172426,ME,44.9067,-66.9919,12.5751384,3.0235884379305701E-3,increase
USC00172765,ME,44.6894,-70.1564,-10.97662338,2.73908883333214E-3,decrease
USC00173046,ME,44.2203,-69.7889,0,0.58732110626071499,none
USC00175304,ME,45.6503,-68.705,0,0.89535951055757601,none
USC00176937,ME,46.6539,-68.0089,0,0.14574072399378299,none
USC00179891,ME,45.1542,-67.3986,0,0.39677244434354703,none
USC00180700,MD,39.0303,-76.9314,0,0.28675936542421099,none
USC00181750,MD,39.2167,-76.0519,0,0.37713530987990401,none
USC00183675,MD,38.9689,-76.8042,0,0.73123232990466402,none
USC00185111,MD,39.0847,-76.9003,0,0.895174182763258,none
USC00186620,MD,39.4131,-79.4003,0,0.262089427295151,none
USC00187330,MD,38.2122,-75.6822,0,0.34585267337560999,none
USC00187806,MD,38.7153,-76.1908,7.731891892,9.6186777943712401E-2,increase
USC00188000,MD,38.365,-75.5892,0,0.286329902678919,none
USC00190120,MA,42.3861,-72.5375,0,0.52613320032297595,none
USC00190736,MA,42.2122,-71.1136,9.826493506,6.9164433792007598E-3,increase
USC00194105,MA,42.6992,-71.1658,5.876363636,8.29015957218006E-2,increase
USC00196486,MA,41.9819,-70.6961,0,0.76420290110852496,none
USC00196783,MA,42.5239,-71.125,0,0.86544822765185003,none
USC00198367,MA,41.9003,-71.0658,11.98599611,2.4374367594929301E-2,increase
USC00200032,MI,41.9164,-84.0164,-8.784245051,5.6563159565193699E-2,decrease
USC00200128,MI,42.58,-85.7892,-17.74397348,1.15906813298409E-2,decrease
USC00200146,MI,43.3869,-84.6481,-9.723958515,4.1014619435854903E-2,decrease
USC00200230,MI,42.2981,-83.6639,0,0.76307406156623303,none
USC00200779,MI,43.7072,-85.4819,0,0.46246836205772102,none
USC00201439,MI,46.5192,-87.9858,0,0.168515850781737,none
USC00201492,MI,45.6522,-84.4725,0,0.204750896697449,none
USC00201675,MI,41.9622,-84.9925,0,0.107100729492111,none
USC00202423,MI,44.2839,-83.5036,0,0.87715557151405599,none
USC00203632,MI,43.675,-86.4228,-11.49065399,1.84903579644283E-2,decrease
USC00203823,MI,41.9353,-84.6411,0,0.63762994442480103,none
USC00204090,MI,45.7858,-88.0842,6.814545455,7.5450229483477294E-2,increase
USC00204104,MI,46.4656,-90.1892,-12.72831169,1.5584425569203199E-3,decrease
USC00205662,MI,43.5858,-84.7694,0,0.89939370800945895,none
USC00205690,MI,46.4122,-86.6625,-17.05093445,1.18707370136788e-05,decrease
USC00205816,MI,46.3286,-85.5033,0,0.536738679354959,none
USC00206300,MI,43.0161,-84.18,0,0.93206048480209702,none
USC00207690,MI,42.4014,-86.2825,-11.00698972,2.3332237779866E-2,decrease
USC00207812,MI,46.0556,-88.6275,0,0.21023599872670101,none
USC00210018,MN,47.2992,-96.5161,-11.06472425,9.7820606810470508E-3,decrease
USC00210075,MN,43.6064,-93.3019,-8.038441558,6.5852502557552206E-2,decrease
USC00210252,MN,48.3311,-96.8253,0,0.45773267793911199,none
USC00210515,MN,48.7094,-94.5853,0,0.14854501760260999,none
USC00211630,MN,46.7053,-92.5239,0,0.208902236936965,none
USC00212142,MN,46.8372,-95.8375,0,0.25515954957423398,none
USC00212698,MN,43.6447,-94.4656,0,0.57882569339854795,none
USC00212737,MN,44.6661,-93.1756,-9.478912209,6.9296463748825005E-2,decrease
USC00212916,MN,47.5639,-95.7247,-16.0581286,3.62152322115326E-3,decrease
USC00213290,MN,43.7047,-92.5644,0,0.174120358640211,none
USC00213303,MN,47.2436,-93.4975,10.51636364,9.7434321166295704E-3,increase
USC00214106,MN,47.2256,-95.1919,-6.919480519,8.6005800906831104E-2,decrease
USC00214652,MN,47.2467,-94.2228,0,0.59879964750340997,none
USC00215400,MN,45.1219,-95.9269,9.672727273,2.4739912105611699E-2,increase
USC00215563,MN,44.9342,-95.7458,0,0.191021256908118,none
USC00215615,MN,45.8775,-93.3147,-14.1787013,7.9022245880287605E-4,decrease
